image_name,label
0.jpg,0
1.jpg,6
2.jpg,0
3.jpg,2
4.jpg,7
5.jpg,2
6.jpg,1
7.jpg,2
8.jpg,4
9.jpg,1
10.jpg,5
11.jpg,6
12.jpg,6
13.jpg,3
14.jpg,1
15.jpg,3
16.jpg,5
17.jpg,5
18.jpg,8
19.jpg,1
20.jpg,4
21.jpg,2
22.jpg,3
23.jpg,2
24.jpg,1
25.jpg,2
26.jpg,8
27.jpg,9
28.jpg,5
29.jpg,0
30.jpg,7
31.jpg,6
32.jpg,7
33.jpg,6
34.jpg,8
35.jpg,8
36.jpg,7
37.jpg,4
38.jpg,9
39.jpg,1
40.jpg,2
41.jpg,6
42.jpg,5
43.jpg,9
44.jpg,4
45.jpg,2
46.jpg,5
47.jpg,1
48.jpg,0
49.jpg,1
50.jpg,1
51.jpg,9
52.jpg,0
53.jpg,7
54.jpg,5
55.jpg,3
56.jpg,9
57.jpg,6
58.jpg,3
59.jpg,3
60.jpg,3
61.jpg,4
62.jpg,1
63.jpg,5
64.jpg,9
65.jpg,7
66.jpg,7
67.jpg,2
68.jpg,9
69.jpg,0
70.jpg,2
71.jpg,8
72.jpg,5
73.jpg,9
74.jpg,6
75.jpg,7
76.jpg,8
77.jpg,4
78.jpg,0
79.jpg,4
80.jpg,9
81.jpg,2
82.jpg,7
83.jpg,1
84.jpg,0
85.jpg,5
86.jpg,1
87.jpg,8
88.jpg,1
89.jpg,6
90.jpg,5
91.jpg,9
92.jpg,7
93.jpg,0
94.jpg,4
95.jpg,5
96.jpg,2
97.jpg,3
98.jpg,5
99.jpg,5
100.jpg,6
101.jpg,0
102.jpg,2
103.jpg,1
104.jpg,1
105.jpg,5
106.jpg,8
107.jpg,5
108.jpg,2
109.jpg,4
110.jpg,2
111.jpg,2
112.jpg,5
113.jpg,3
114.jpg,0
115.jpg,3
116.jpg,0
117.jpg,2
118.jpg,9
119.jpg,1
120.jpg,1
121.jpg,7
122.jpg,3
123.jpg,8
124.jpg,5
125.jpg,4
126.jpg,5
127.jpg,9
128.jpg,6
129.jpg,5
130.jpg,6
131.jpg,4
132.jpg,4
133.jpg,5
134.jpg,5
135.jpg,1
136.jpg,1
137.jpg,5
138.jpg,6
139.jpg,2
140.jpg,5
141.jpg,0
142.jpg,8
143.jpg,6
144.jpg,2
145.jpg,2
146.jpg,6
147.jpg,8
148.jpg,8
149.jpg,6
150.jpg,7
151.jpg,4
152.jpg,0
153.jpg,4
154.jpg,1
155.jpg,5
156.jpg,4
157.jpg,2
158.jpg,0
159.jpg,3
160.jpg,0
161.jpg,9
162.jpg,5
163.jpg,7
164.jpg,8
165.jpg,1
166.jpg,1
167.jpg,7
168.jpg,8
169.jpg,8
170.jpg,3
171.jpg,0
172.jpg,0
173.jpg,4
174.jpg,7
175.jpg,9
176.jpg,6
177.jpg,0
178.jpg,9
179.jpg,9
180.jpg,9
181.jpg,2
182.jpg,1
183.jpg,1
184.jpg,7
185.jpg,4
186.jpg,3
187.jpg,7
188.jpg,5
189.jpg,5
190.jpg,7
191.jpg,9
192.jpg,3
193.jpg,6
194.jpg,9
195.jpg,7
196.jpg,5
197.jpg,7
198.jpg,1
199.jpg,7
200.jpg,0
201.jpg,5
202.jpg,6
203.jpg,7
204.jpg,3
205.jpg,0
206.jpg,4
207.jpg,5
208.jpg,1
209.jpg,1
210.jpg,8
211.jpg,8
212.jpg,6
213.jpg,3
214.jpg,2
215.jpg,9
216.jpg,7
217.jpg,8
218.jpg,1
219.jpg,3
220.jpg,9
221.jpg,8
222.jpg,6
223.jpg,9
224.jpg,2
225.jpg,4
226.jpg,4
227.jpg,1
228.jpg,4
229.jpg,2
230.jpg,4
231.jpg,5
232.jpg,2
233.jpg,0
234.jpg,1
235.jpg,5
236.jpg,1
237.jpg,2
238.jpg,1
239.jpg,2
240.jpg,0
241.jpg,2
242.jpg,4
243.jpg,4
244.jpg,1
245.jpg,1
246.jpg,2
247.jpg,9
248.jpg,5
249.jpg,6
250.jpg,4
251.jpg,2
252.jpg,8
253.jpg,7
254.jpg,2
255.jpg,7
256.jpg,4
257.jpg,0
258.jpg,2
259.jpg,6
260.jpg,5
261.jpg,8
262.jpg,8
263.jpg,9
264.jpg,7
265.jpg,7
266.jpg,3
267.jpg,0
268.jpg,4
269.jpg,1
270.jpg,3
271.jpg,0
272.jpg,0
273.jpg,8
274.jpg,7
275.jpg,5
276.jpg,9
277.jpg,8
278.jpg,7
279.jpg,5
280.jpg,0
281.jpg,1
282.jpg,4
283.jpg,5
284.jpg,6
285.jpg,9
286.jpg,2
287.jpg,2
288.jpg,3
289.jpg,4
290.jpg,5
291.jpg,4
292.jpg,6
293.jpg,1
294.jpg,8
295.jpg,0
296.jpg,7
297.jpg,0
298.jpg,7
299.jpg,8
300.jpg,4
301.jpg,5
302.jpg,6
303.jpg,8
304.jpg,0
305.jpg,3
306.jpg,4
307.jpg,4
308.jpg,5
309.jpg,9
310.jpg,5
311.jpg,3
312.jpg,2
313.jpg,1
314.jpg,1
315.jpg,2
316.jpg,1
317.jpg,2
318.jpg,3
319.jpg,7
320.jpg,8
321.jpg,0
322.jpg,8
323.jpg,6
324.jpg,0
325.jpg,2
326.jpg,4
327.jpg,9
328.jpg,8
329.jpg,8
330.jpg,7
331.jpg,0
332.jpg,3
333.jpg,2
334.jpg,6
335.jpg,8
336.jpg,6
337.jpg,5
338.jpg,3
339.jpg,3
340.jpg,7
341.jpg,4
342.jpg,5
343.jpg,9
344.jpg,1
345.jpg,4
346.jpg,3
347.jpg,3
348.jpg,7
349.jpg,5
350.jpg,6
351.jpg,9
352.jpg,2
353.jpg,4
354.jpg,4
355.jpg,0
356.jpg,5
357.jpg,8
358.jpg,4
359.jpg,5
360.jpg,9
361.jpg,3
362.jpg,1
363.jpg,9
364.jpg,9
365.jpg,2
366.jpg,8
367.jpg,6
368.jpg,7
369.jpg,9
370.jpg,5
371.jpg,2
372.jpg,5
373.jpg,8
374.jpg,1
375.jpg,5
376.jpg,0
377.jpg,2
378.jpg,0
379.jpg,9
380.jpg,8
381.jpg,5
382.jpg,7
383.jpg,0
384.jpg,4
385.jpg,7
386.jpg,3
387.jpg,5
388.jpg,8
389.jpg,3
390.jpg,6
391.jpg,2
392.jpg,9
393.jpg,5
394.jpg,6
395.jpg,5
396.jpg,2
397.jpg,7
398.jpg,8
399.jpg,1
400.jpg,0
401.jpg,7
402.jpg,2
403.jpg,2
404.jpg,9
405.jpg,2
406.jpg,8
407.jpg,1
408.jpg,0
409.jpg,7
410.jpg,7
411.jpg,8
412.jpg,9
413.jpg,4
414.jpg,4
415.jpg,0
416.jpg,9
417.jpg,7
418.jpg,1
419.jpg,7
420.jpg,9
421.jpg,7
422.jpg,7
423.jpg,8
424.jpg,3
425.jpg,4
426.jpg,0
427.jpg,6
428.jpg,0
429.jpg,0
430.jpg,7
431.jpg,7
432.jpg,3
433.jpg,8
434.jpg,7
435.jpg,4
436.jpg,4
437.jpg,2
438.jpg,8
439.jpg,1
440.jpg,0
441.jpg,5
442.jpg,4
443.jpg,8
444.jpg,8
445.jpg,1
446.jpg,1
447.jpg,7
448.jpg,8
449.jpg,4
450.jpg,4
451.jpg,2
452.jpg,3
453.jpg,2
454.jpg,2
455.jpg,7
456.jpg,5
457.jpg,1
458.jpg,1
459.jpg,3
460.jpg,8
461.jpg,3
462.jpg,9
463.jpg,1
464.jpg,4
465.jpg,9
466.jpg,2
467.jpg,0
468.jpg,4
469.jpg,6
470.jpg,2
471.jpg,1
472.jpg,8
473.jpg,5
474.jpg,4
475.jpg,2
476.jpg,3
477.jpg,5
478.jpg,2
479.jpg,3
480.jpg,2
481.jpg,6
482.jpg,5
483.jpg,8
484.jpg,7
485.jpg,6
486.jpg,1
487.jpg,0
488.jpg,8
489.jpg,1
490.jpg,3
491.jpg,6
492.jpg,1
493.jpg,2
494.jpg,6
495.jpg,1
496.jpg,6
497.jpg,0
498.jpg,7
499.jpg,4
500.jpg,5
501.jpg,4
502.jpg,5
503.jpg,9
504.jpg,8
505.jpg,2
506.jpg,5
507.jpg,4
508.jpg,8
509.jpg,8
510.jpg,8
511.jpg,2
512.jpg,6
513.jpg,2
514.jpg,8
515.jpg,8
516.jpg,1
517.jpg,0
